username,date,tweet
@khansaaii,2024-10-21 18:55,gue kan udh ga gamon lg ya sama mpkmb TP INI CHALLENGE 6 DISURU BUAT VIDEO TENTANG MPKMB LAGI?! gamon lagi lah gua anjir terpuruk bgt tolong😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔
@onawear2,2024-10-21 03:29,dari mpkmb jug
@kuyukuykuyy,2024-10-20 21:22,"terbukti setelah mpkmb, closing gctb, bcl, dan sekarang lkip pun kayak gitu hiks besok kuliah pls"
@babiesyoda,2024-10-20 15:43,"hihi gaa kesampaian foto di mpkmb tapi kesampaian foto di ktemu😆🫰🏻, cantiknya kk kautsar ini🥹💗"
@iiksanboy,2024-10-20 14:23,"sama samaa lodii, OMG semangat semangattttt ayo ketemu di mpkmb 62 siapa tau aku jadi daftar panitia nantii😼😼😼"
@grscpk,2024-10-20 11:13,"oh pantesan orang orang terlihat familiar, karena pernah kenalan pas mpkmb🙏🏻"
@seafishyyy,2024-10-20 09:26,"reuni dgn nasi liwet favorit gue di bara yg paling enak itu😽 terakhir beli keknya pas masih panit mpkmb kmrn, trs tadi ibunya nanyain katanya tumben baru keliatan lagi AKDHJSJFKSKKF BU?? luv u bu baik bgt sampe inget gue🥺❤️"
@cipOlsit3,2024-10-20 02:42,MAU BELI SANDEOKI😔
@westernkinoy,2024-10-19 17:06,"akhirnyaaa semua tugas mpkmb, challenge 6, cluster (tinggal tunggi revisi lagi), dll dah beresszzz"
@cipOlsit3,2024-10-19 15:01,mau bikin fa lagi…
@imsweethoneyy,2024-10-19 11:54,Dia pas diundang di mpkmb kemaren aja begitu wkwkwkwkwk
@iiihaechanie,2024-10-18 16:46,"tmn2 mpkmb gwh pada keren bgt dahh, sdgkan gwh smpe skrng belom bisa jd apa2"
@vannotegar25,2024-10-17 11:21,di suruh nostalgia ama MPKMB ka😄
@vannotegar25,2024-10-17 11:20,Topi nya kek topi MPKMB pris plek😊
@iiksanboy,2024-10-17 11:04,"⩩ (not) today's mail ★🎸🎧⋆｡ °⋆

akhirnya setelah huru hara jastip waktu mpkmb dateng juga ni anak"
@grtppol,2024-10-15 12:51,gw jadi kecanduan lagu lyla karena mpkmb....
@capybaia,2024-10-15 09:06,omg aku masih orientasi (mpkmb part 2) 😆 tapi semua di sini sangat nice and welcome!! 🙂‍↕️🙂‍↕️
@moneeterz,2024-10-14 16:29,INI SIAPA NYETEL JINGLE MPKMB 61 DI RUANG TENGAH KOS TENGAH MALAM???
@ningningipb,2024-10-14 16:01,Tiap denger jingle mpkmb sv ipb 61 jd merinding tau... keinget moment moment nya🥹🫶
@RADIANT3CCLIPSE,2024-10-14 12:36,waktu mpkmb bukannya tutup? jam 12 tutup gasih
@starboydimzy,2024-10-14 05:48,red doorz belakang duta berlian nder. dulu pas mpkmb pernah nginep disitu
@tehqotaq,2024-10-14 04:50,Kangen MPKMB (sebenarnya gw kangen bareng sama si *censored*)
@onawear2,2024-10-13 17:13,"andin nerima gw jadi pacarnya, dan kita resmi pacaran. namanya gw abadikan di buku penugasan narapatitweet. thank u mpkmb and welcome davdin (david andin) era♥️♥️"
@onawear2,2024-10-13 17:13,"dan lo tau ga keajaiban nya apa ? dari belakang andin nepuk punggung gw terus meluk gw, disitu perut gw ada kupu kupunya. Tapi hari ini ga mendukung dan hujan deras tapi itu ga ngalangin kita buat nutup era mpkmb dengan kasih dan sayang😍"
@onawear2,2024-10-13 17:13,"tibalah di penutupan mpkmb yaitu konser akbar yang didatengin band serta artis papan atas seperti tulus, selaon7, hivi, beyonce, sama pdidiy. dibalik keramaian yang ada, gw berharap ada andin disini bersama gw dan gw mau nyatain cinta pertama gw (selama 17 tahun hidup)"
@onawear2,2024-10-13 17:13,"semenjak itu, gw jalanin mpkmb day 3-4 dengan penuh pikiran karena gw gabisa ketemu sama andin. gw rasa i have a crush on andin karena dia satu satunya cewe se antero bumi yang mirip sama kucing gw yang udah mati huhu. btw kucing gw cantik dan wangi, kadang dia mirip"
@onawear2,2024-10-13 17:12,"selesai mpkmb gw lari menuju bara dan duduk ditempat kemarin yang kita janjikan, sampe jam 9 malam belum kunjung datang si andin. kata gw “ajjir cog apa si andin yah yang ketabrak, tapi kalau pun iyah masa gada pemberitahuan di ig bimasaktinya)"
@onawear2,2024-10-13 17:12,"akhirnya setelah cape nyari kita sepakat buat lanjut nyari lagi selepas mpkmb day 2, di tempat yang sama cuman beda arah. gw ke cibanteng sedangkan andin ke perwira (beda arah) jadi kita harus berpisah dulu."
@onawear2,2024-10-13 17:12,"pertemuan kita gasampe situ aja sih selepas pulang mpkmb day 1, gw dan andin kompak nyari barang rekor (kardus bekas) di sepanjang jalan babakan raya. tapi si andin suka banget nih foto diem diem, gw sih seneng aja yh karena gw punya temen yang mengabadikan moment hehe"
@onawear2,2024-10-13 17:12,"mpkmb kok gini ?
cr : al
bagian 1
.
dipagi buta gw udah naik angkot dari arah kanan menuju gerbang depan ipb (gw kira sepi ternyata rame) disana gw gak kenal siapa siapa, cuz gw adalah jebolan sekolah gw yang bisa tembus ipb jalur prestasi wkwk (sombong dikit)."
@haneeeyney,2024-10-13 05:28,iya lg kangen mpkmb
@KalsiumOksalat,2024-10-12 18:48,Darii projek sinerginya tmen asrama gue dlu pas mpkmb taun lalu masi ada bjir wkskwks
@yujimib,2024-10-12 15:25,"Sorry just wanna ask, dokum mpkmb ini sebetulnya ada link nya atau gimana ya? Ty"
@rajarakyatbiasa,2024-10-12 14:14,duh jam 3 dh harus bangun siap² buat stuba berasa ospek mpkmb😭
@crunoash,2024-10-11 11:57,kangen mpkmb kangen mpkmb kangen mpkmb kangen mpkmb kangen mpkmb kangen mpkmb kangen mpkmb kangen mpkmb kangen mpkmb kangen mpkmb kangen mpkmb kangen mpkmb kangen mpkmb kangen mpkmb kangen mpkmb kangen mpkmb kangen mpkmb kangen mpkmb
@crunoash,2024-10-11 11:45,challenge 6 ni malah bikin gue kangen mpkmb gitu anjir
@westernkinoy,2024-10-10 16:19,jir kangen mpkmb
@zelhazelhazel,2024-10-10 03:44,Knp tbtb semua org post foto mpkmb bginii
@Agniaaaz,2024-10-10 00:24,beneran selapuk itu waktu mpkmb...
@lovesomely,2024-10-09 16:07,"Pasti kurikulum baru dibahas bukan h-1 mpkmb. Kayak kenapa SV gak memasukkan itu du booklet ipb yg terbaru YANG DIBAGIIN KE TIAP SEKOLAH, sumpah I hate to say this tpi gue beneran kayak hah merasa ketipu cuk"
@Galweth,2024-10-09 14:52,jingle mpkmb 61 candu bgt njir
@ninievoss,2024-10-09 13:22,"di tengah gempuran uts ini, challenge 6 bikin kangen mpkmb😭"
@6odsp33d,2024-10-09 13:08,aku gpp mpkmb atau ngerjain challenge aja drpd UTS
@gumohwo,2024-10-09 12:33,bruh foto gw di drive mpkmb gada yg proper 😩
@apsiygkbwatkm,2024-10-09 11:43,mw ngepost disini ketangkep kamera pdd MPKMB AJA YU PLS TP TANPA TUGAS²NYH AAAAAAAA
@Galweth,2024-10-09 10:55,"ABIS DIKIRIM FOTO-FOTO SELAMA MPKMB, JADI TAMBAH GAMON GUA😔😭"
@lsfhtpgg,2024-10-09 09:16,Ga ada yang bisa dimasukin feed ni dokumentasi mpkmb nya......
@g0dzSake,2024-10-09 06:06,"hi sasaa, kmrn tu ada buat video, upload twibbon, ngisi buku yg isinya rangkuman materi selama mpkmb, trs sisanya tugas kelompok dan tugas pasca-mpkmb"
@rutoipb,2024-10-09 04:24,liat liat dokum malah kangen mpkmb lagi... mau mpkmb lg pls pls pls
@zekyyzek,2024-10-09 00:00,"isi selfie gua hmpir smuanya d kampus stlah mpkmb, kg pernah maen plis semester ini"
@cupcakeblueee,2024-10-08 16:33,dokum mpkmb isinya muka imuth doang👎🏻👎🏻
@salss_callaa,2024-10-08 15:21,"eh jelek tp di mpkmb gue di selingkuhin, tp gapapa sih kalau ga gitu ga ketemu sm komdis batak😄"
@monggu611,2024-10-08 09:49,"kangen masa masa ngespace bareng si paris dan kawan kawan, kangen jbjb twt sama anak mahesa, kangen mahesa. kangen mpkmb juga, kangen last day mpkmb"
@soobintxtc,2024-10-07 16:53,"pas liat galeri era mpkmb jadi ngeh pantesan muka orang-orang kadang ada yang ga asing. ada pernah satu kelompok pas faculty day, ada juga yang pernah sebelahan pas ishoma 😭"
@salss_callaa,2024-10-07 15:38,"i’ll remember all too well…
ternyata kisah lapangku lebih berwarna setelah kamu ada noel🥺 makasi udah bareng2 running mpkmb mulai dari pra-malam puncak, waktu aku nangis sendiri dibelakang terus km samperin (it’s so meaningful) i love you noel…"
@skarezk,2024-10-07 13:28,liseng buka file di laptop terus ketemu tugas tugas pas mpkmb LANGSUNG ISTIGHFAR (traumatis)
@OSCOCLIFFO,2024-10-07 12:34,"tugas mpkmb gue tinggal challenge 5 sama pkm asu, bayangin selesai mpkmb agustus awal sampe sekarang masih belom selesai tugas mpkmb"
@naruhiiko,2024-10-06 12:16,"Oh ternyata challenge 6 gak harus kt ngomong skrg yah, pake video dokumentasi mpkmb kmrn jg boleh kah"
@haec1an,2024-10-06 11:50,"hi muts, omb itu dari 7habits trs yg makan sehat itu kan yak? bukan mpkmb doang"
@fleurshaaa,2024-10-06 00:57,perbandingan vanue nya kaya wisuda sama mpkmb
@kerlabu,2024-10-05 15:02,"Mpkmb membawa trauma, wkwkwk"
@tehqotaq,2024-10-05 14:32,Gfriend comeback pertanda MPKMB 62 beneran ngundang gfriend dan izone
@pizzaAarebussS,2024-10-05 13:34,huft aku aja berbulan2 buat move on dr mpkmb
@apsiygkbwatkm,2024-10-05 07:28,KANGEN MPKMB MASUK GWW DISAMBUT LAGU INI AAAAAA
@apsiygkbwatkm,2024-10-05 06:05,SEBEL BGT MW NGRJAIN CH 6 NGE SCROOL GALERI MASA2 MPKMB SERU BGT KANGEN AAAAAAAA
@rutoipb,2024-10-05 05:58,mpkmb nya thawaf gt konsepnya mksd km????????
@sipalingekologi,2024-10-05 00:19,Ouch. Semangat kawan mpkmb ku💪💪
@skarezk,2024-10-04 15:16,wkwkwk uts apa mpkmb
@maheas_,2024-10-04 06:08,"kan lu punya seragam mpkmb, sama sama ungu"
@haerinipb,2024-10-03 13:05,YA UDAH 2 taun ga dicariin jg sampe saat ini😭 mana gw dapetnya nike sedangkan gw beli sepatu item biasa buat mpkmb doang
@haerinipb,2024-10-03 13:02,gw gara” menfess keinget pas mpkmb sepatu gw ketuker sama orng BENER” sepasang… pas solat subuh di gww.. KEK baru nyadar pas terang😭😭 KEK GW GAPUNYA SEPATU ITEM LAGI JADI GW PAKE SAMPE KELAR MPKMB ANJG
@cipOlsit3,2024-10-03 09:53,UDAH DAPETTTTT AKKKK BAYIK BARUUUU RUN STAR TRAINERRRR AAKKKKK
@tehqotaq,2024-10-03 04:31,Pantes pas MPKMB kemarin gw merasa sedikit ganjal sama Putri Tanjung
@chaziyle,2024-10-03 03:01,kgn mpkmb
@apsiygkbwatkm,2024-10-03 00:42,"ANJAI CH 6, dibuka MPKMB sm video rememorize SMA, ditutup video recap MPKMB.. GASS AKAN AK SEBARKAN MPKMB TERCAPE TERSERU TERTERTER GUE ITU AAAAAAAA mamaa kangen mpkmb.. mau ospek aja.."
@ayestudiez,2024-10-02 15:42,"kata gw mah yak, kimia belajar dari mpkmb aja, alias JGN SKS KOCAG"
@Partofdym,2024-10-02 11:58,MPKMB 60 to PANIT MPKMB 61
@kaisbrainrot,2024-10-02 09:15,"kangen that night pulang naik krl bareng dgn mimi, cipa, isti, dan nafisa terus kita ngemper di stasiun sembari ngerjain tugas mpkmb dan menyeruput popmie... what a good ol' days..."
@ipb_menfess,2024-10-02 05:57,"punten, anak mab 61 kok attractive bgt yaa, sender kecantol sama satu wujud amonali batik tosca-hitam anak v51 pas mpkmb day 2, btw semangat uts, yaa-!!"
@cipOlsit3,2024-10-01 15:10,gue udah 2 kali bolak balik store converse di botas cm buat NANYAIN RUM STAR TRAINER JGN SMPE BESOK GUE KE BOTAS MASI SOLDDDDDD PLSSSSS
@cipOlsit3,2024-10-01 15:10,YAKANNNNNN tp sold mulu sedih😖
@cipOlsit3,2024-10-01 15:08,apa sih kenapa run star trainer cepet bgt soldout bajingan
@grscpk,2024-10-01 11:41,pasca mpkmb bubar aja mending
@skylovawa,2024-10-01 10:59,please aku belum balik ke bandung dari awal mpkmb.... sekalian pas beres uas aja gitu...
@kazuhaipb,2024-09-30 15:33,diliat-liat banyak anak IPB yang tumbang (dari MPKMB sampe sekarang mau uts :))
@raasanshine,2024-09-30 15:28,btw gua nyesel make foto ini (yg gaada shua nya) buat isi data kreatif mpkmb alhasil smua foto gua meRENG di ppt
@chamomilesze,2024-09-30 15:22,kok tbtb udah uts lg ya mental gw masih mpkmb
@grscpk,2024-09-30 14:20,ketua mpkmb
@Partofdym,2024-09-29 17:34,acara MPKMB to acara Closing E-Math with kemoy
@jwylibel,2024-09-29 09:48,kemaren kan udah pas mpkmb
@tasmoniaa,2024-09-29 04:28,cok tbtb di home youtube gue muncul vlog anak ganes pas closing mpkmb 60 sedih bgtt ak nangis nontonnya
@jakegizi,2024-09-28 18:08,masa gw bacanya semua cinta gue di mpkmb kaget
@arzhitect,2024-09-28 16:52,duh kl keinget uts pengen mpkmb lg anjrittt
@terlelaah,2024-09-28 15:02,kalo ada dari mpkmb udah gw ajak nikah
@eunwooipb,2024-09-28 10:21,sumpah knp u dr mpkmb smp skrg masih botak
@lazueli,2024-09-28 09:43,siapa setuju pasca mpkmb bubar
@dishayangkamuu,2024-09-27 15:14,"gmw lanyard ipb, maunya lanyard mpkmb 62"
@growupwithpinks,2024-09-27 04:28,Saya yg angkatan 50 aja gatau bentukan lanyard MPKMB 50 kyk gimana haha
@whoareyou2705,2024-09-26 20:20,Bubar gimana maksudnya emang maba sekarang ada kegiatan pasca MPKMB?
@kwaokissleeping,2024-09-26 18:03,Meanwhile aku dapet lanyard IPB Prestasi cuma dengan bersedia diwawancarain mereka pas hari closing MPKMB WKWKW 😂😅🙏
@jijellipebe,2024-09-26 14:42,gapapa aku akan bantai komdis mpkmb sv 62 itu 🫵🏻
@haiitsmekoy,2024-09-26 08:41,Lanyard MPKMB angkatan 50
@enfjul,2024-09-25 04:20,aku pas abis mpkmb dan ada anak prodi lain yg manggil:
@keketlopeforlyf,2024-09-24 20:02,"Beneran feeling bless for not choosed pjk di mpkmb. Soalnya ini mpd aja meriksa nilai gue udh drain out, pdhl baru 1 org"
@kimdo0young_,2024-09-24 16:48,Kmrn aku pas mpkmb masih bisa dah
@s0lb1n,2024-09-24 14:23,"Gaa ke rektor doang. Pukul rata. Bawa bawa instansi.

Intinya org kontra dia tuu karna dia berkelakuan menyimpang dengan membawa nama instansi besar.

Soalnya dia pernah deact kok grgr ngatain kampus, acara mpkmb sm apa gt. Dan memang dia salah."
@yolaviense,2024-09-24 13:50,UDAH MAU UTS MASIH ADA PASCA MPKMB AH
@streshidup,2024-09-24 13:14,😇 kan ketemu bjir wan pas mpkmb
@fwzthecounselor,2024-09-24 12:30,beliau perasaan pas mpkmb dulu pernah ilang ko muncul2 lagi dah apa ga jera..
@kerlabu,2024-09-24 12:05,Dari mpkmb dia udah sering dimention
@boojaymey,2024-09-24 05:23,"aamiin, SOON YAA, aku jdi panit mpkmb sambil jualan cilok ntar 🫰🫰"
@lsfhtpgg,2024-09-23 17:34,"Toxic relationship sama dekor ni, dari mpkmb sampe ke fakultas 😭"
@PDI_Perjuangan,2024-09-22 11:51,"Calon Gubernur Sumatera Utara, Edy Rahmayadi menjadi pembicara utama pada acara Masa Pengenalan Kampus Mahasiswa Baru (MPKMB) Universitas IBBI Medan, di Kampus IBBI, Jalan Sei Deli Medan, Jumat (20/9/2024).

Dalam paparannya soal wawasan kebangsaan dengan inti materi 'Great Leader' dan dimoderatori Sekretaris IKAL Lemhanas Sumut, Dr Yohannes Purba, Edy Rahmayadi mengajak seluruh mahasiswa baru IBBI Medan sudah dapat menentukan masa depannya sejak sekarang.

Menurut Edy Rahmayadi yang juga Ketua Ikan Keluarga Alumni (IKAL) Lembaga Ketahanan Nasional (Lemhanas) Indonesia Sumut itu, dengan memiliki pilihan yang kuat tentang cita-citanya, akan memotivasi seseorang untuk meraihnya.

#PDIPerjuangan
#MenangkanRakyat
#SatyamEvaJayate
#KebenaranPastiMenang
#SolidBergerak"
@terebiologi,2024-09-22 09:32,kangen mpkmb bgt jujur
@littlelolzz,2024-09-22 08:20,MPKMB banget inima
@syifancyyy,2024-09-22 05:53,emg ada ya kating yg mengayomi? sorry to say gue jg selama ospek/mpkmb gk pernah ngerasain treat yg baik
@fkcalors,2024-09-21 16:25,Ini lampu udah mati tiba-tiba BARUSAN dibilang penugasan mpkmb di tiktok jangan dihapus....... terlanjur
@raasanshine,2024-09-21 14:25,bkn mpkmb 61...
@bobatiramisyu,2024-09-21 12:08,el sampe buka database panit kreatif mpkmb dan beneran TUAAN GUE WKWK
@unwrittuen,2024-09-21 12:07,"mc mpkmb:

""sobat nara kondusif"""
@apsiygkbwatkm,2024-09-21 07:58,piknik dadakan brsm anak ss dan st sebelah.. akhirnya life update ppku setelah mpkmb 🫂✨️
@raasanshine,2024-09-21 07:56,msih ckep dr mpkmb
@rijeongrie,2024-09-20 04:48,pas jaman mpkmb (dan pra) kerjaan gua nongkrong mlu bnr2 tiap hari main. SKRG ADA WAKTU FREE MENDING GUA PAKE TIDUR ANJINGG
@malachitin,2024-09-19 14:16,ni org kalau sebersemangat ini ngerjain tugas mpkmb kyknya bakalan keren
@deffbob_,2024-09-19 02:55,masih bagusan isi konsum mpkmb😭🙏🏻
@jiseokbogor,2024-09-18 23:34,anjing ternyata gue satu kos sama kadiv mpkmb???? 😭😭😭😭
@aneversez,2024-09-18 14:10,"closingan enrichment tadi disetel jingle mpkmb trus pada sing along, LUCU BGT KANGEN MASA MPKMBㅠㅠ"
@shymfiony,2024-09-18 13:11,klian yg di gww kangen mpkmb jg g si
@cilanduy,2024-09-18 12:29,"srius nanya, emang bakal ada yg ga lulus mpkmb ya?"
@dcipss,2024-09-17 16:23,bisa gasih mpkmb aja 4 tahun
@itsurbabey,2024-09-17 09:00,gatau tp knapa ya ril maba yg skrg kek knapa?! wkt mpkmb juga sampah berserakan bgt😿
@sukabaksobgt,2024-09-16 18:18,"Semester 1 aku jg ga lolos apa²😭, pas akhir baru lolos panit MPKMB. Saranku kalau masih susah tembus organisasi, coba dulu kepanitiaan atau volunteer buat nambah pengalaman, nah kalau udh ada pengalaman, biasanya kemungkinan lolosnya besar kedepan, ini yg aku rasain after mpkmb"
@reezzzzzzcooker,2024-09-16 13:46,"Mending gedubrak"" fisik kaya mpkmb kemaren dah daripada beban pikiran gini anying"
@cipOlsit3,2024-09-16 08:28,syap salah kak
@glorievs,2024-09-16 05:31,we kocak kacamataku emang miring grgr ketiduran pas kelar mpkmb😭😭😭
@zelhazelhazel,2024-09-15 13:11,Kak.. Ayo mpkmb lg kak...
@nnshutt,2024-09-15 11:45,anjrt aku lupa ada enrichment MAMAHHHHH KENAPA HARUS ADA PASCA MPKMB 😭😭😭
@cinanaamon,2024-09-14 18:17,sayang bgt sama pjk sumpahh :((( kepikiran kalau ga ikut mpkmb hidupku sesepi apa yaaa
@astronotcentil,2024-09-14 13:57,"born to mengenang MPKMB, forced to pusing sama pasca MPKMB"
@preciousrrr,2024-09-14 13:43,"libur libur masih ada zoom, laprak, trus tugas pasca mpkmb😀"
@cipOlsit3,2024-09-14 13:09,cape bgt yh gendong kelompok
@bemymegumi,2024-09-14 04:12,mentoring untuk program kreatifitas mahasiswa pasca mpkmb baaaay
@hourlyhili,2024-09-13 14:44,"mw mpkmb tiap hari pls, abis itu langsung wisuda..."
@onawear2,2024-09-13 14:41,"AKU SUKA HARI INI DAH, kek mpkmb lagi"
@nnbellla,2024-09-13 12:54,terakhir kali kesini pas mpkmb..
@readaccg,2024-09-13 12:02,"OI, SIAPA KANGEN MPKMB 61?! 🤩😋"
@onawear2,2024-09-13 11:24,"WOILAH INI ENAK BANGET..

MAKASIH PANIT MPKMB"
@streshidup,2024-09-13 05:26,woy kocak kok twibbon ukm lebih banyak engagementnya dripada twibbon masuk mpkmb si bjrit
@sptrosaliaa_,2024-09-13 04:27,"naik tapi yang sebelah lagi belum eh digas aja. jatoh lah celananya robek. terus dijemput cofasil mpkmb naik motor. apaan bisnya aja lanjut jalan coy gaada itikad baik buat at least minta maaf.

pecat aja noh yang kerjanya ga becus"
@sptrosaliaa_,2024-09-13 04:25,"ya minimal kalo supir perlu istirahat itu sejam sekali kek ato gimana, jangan seputeran berhenti, ngerokok, terus bus belum ada yang jalan.

supir juga dibayar ya anjir kerjanya yang bener juga. masa iya temen gue anak aktiaria 60 pas masa mpkmb mau naik bus kaki sebelah udah-"
@meteorhologi,2024-09-12 10:21,p @ipbofficial datengin tulus atuh ini temen saya masih mengharap banget semenjak mpkmb
@orenjicaat,2024-09-11 11:21,enrichment esai buat tugas pasca mpkmb
@cilanduy,2024-09-11 08:39,aduh prasaan bru kemaren selesai mpkmb kak...
@ipb_menfess,2024-09-11 07:43,"Punten, minta tolong ya bagi yang menemukan, detailnya pake lanyard mpkmb"
@dlacorfiles,2024-09-11 06:09,"tadi ada studytour dari suatu sekolah terus sekarang di ccr diplay ipb digdaya, kangen mpkmb 🙁🙁"
@Opet253447,2024-09-11 05:00,GW SHOCK BGTTTTTTT ANJINGGGG PADAHAL KEKER SELALU SAMA CEWE PAS MPKMB JUGA BANYAK YG SUKA KOK GEY 😭😭😭😭
@saysikenow05,2024-09-11 02:32,"😭😭😭 relatable honestly, sebelum aku mpkmb jg kerjaanya buka twt mulu. Skrg cuman muncul once in a full moon awikwok"
@cozyykendall,2024-09-10 16:14,"kangen dapet lebihan konsumm mpkmb itu tiap hari. bawa pulang ke kos pisang+jeruk masing² sekotak, makan lebihan konsum panitt/vip/maba 3-4x sehari kwkekw"
@cozyykendall,2024-09-10 16:09,moment panitt mpkmb ternyata ada sebanyak ini di hp gue..🥺❤️🪻
@cipOlsit3,2024-09-10 14:20,doain pls..
@asavorynight,2024-09-10 11:54,udah lama ga denger lagu mpkmb jir kangen
@gumohwo,2024-09-10 09:34,mpkmb banyak yg gatau lyla
@todayisgege,2024-09-10 01:55,omagah kaka mc mpkmb 60
@infctee,2024-09-09 07:20,di ig mpkmb storee
@chasedeadg,2024-09-08 17:05,"padahal di mpkmb, either itu 60 or 61 aku ketemu lebih bnyk orang, lebih capek, tidur cuma 1-2 jam sehari BUT di mpd aku ngerasa lebih CAPEK, social energy ku bahkan abis seabis abisnya"
@onawear2,2024-09-08 15:38,wp aku masih gambar mpkmb dari faris
@jaemincikini,2024-09-08 13:09,aamiin pjk kel. besar biru mpkmb 62
@gummydoy_,2024-09-08 12:33,"doyoung bilang kyk gini ak jd mau bilang doyoung is my youth too, nemenin masa utbk, us, jadi agit, tes kedinasan, masuk kuliah, mpkmb kuliah, semuaaanyaaa ditemenin dia, malah dia jd role modelku buat masalah akademik ㅠㅠ"
@studyshasha,2024-09-08 12:27,"yeah 3 minggu lagi uts and we still have pasca mpkmb, love ipb🫰🏻"
@reversepant,2024-09-08 08:37,aku suka pasca-MPKMB 🤞🏻
@whereismyale,2024-09-08 02:44,"iri maksimal sama binus mereka nampilin songs that i LIKE, aku pas mpkmb ga tau any of the songs except wcbf 😮‍💨😮‍💨😮‍💨😮‍💨😔😔😔😔"
@bemymegumi,2024-09-07 23:54,pasca mpkmb bilek 🤟😜
@bemymegumi,2024-09-07 23:45,hari hari gamonin mpkmb dah 😂
